Actuals,Predicteds
1.0,1.3132696962
1.0,1.18970804614
1.0,1.06339315384
1.0,1.03145306778
1.0,1.16521779136
1.0,1.09276016471
1.0,1.09276016471
1.0,1.42034312704
1.0,1.20658689224
1.0,1.20192364708
1.0,1.18831254523
1.0,2.74609922765
3.0,1.0
1.0,1.19454406491
2.0,1.11120027365
1.0,1.05684811979
1.0,1.05186516337
4.0,1.34587093994
1.0,1.16779351017
1.0,1.0
1.0,1.0
1.0,1.12607809977
1.0,1.13283377782
2.0,1.29337086471
4.0,1.36817714854
1.0,1.99156722658
1.0,1.04185028843
1.0,1.10450950939
1.0,1.08799785766
2.0,1.04185028843
1.0,1.0
15.0,9.53590458078
2.0,1.32351912825
1.0,1.01663717165
1.0,1.1616056353
1.0,1.51422435688
1.0,1.46044521938
1.0,1.1813931756
1.0,1.00830142853
1.0,1.00830142853
2.0,1.39384829314
2.0,1.40188738169
1.0,1.0
1.0,1.09320301551
1.0,1.00830142853
1.0,1.23404081874
1.0,1.43072251924
1.0,1.50869413975
1.0,1.66823637055
1.0,1.13908493475
1.0,1.28340964087
1.0,1.07092034611
1.0,1.00830142853
1.0,1.07594818152
1.0,1.46994759027
1.0,1.4563604094
1.0,1.06309181715
5.0,1.3257543529
1.0,1.09568265437
1.0,1.38997017774
1.0,1.22441878062
1.0,1.12661529548
1.0,1.07951050481
1.0,1.10174392049
1.0,1.24747009568
1.0,1.02500722933
1.0,1.62243928748
1.0,1.13488626285
1.0,1.16358381418
1.0,1.03145306778
1.0,1.11685654494
1.0,1.12403359881
1.0,1.1410752844
2.0,1.03988377054
3.0,2.47085498846
1.0,1.0230566796
1.0,1.06236450199
1.0,1.06737223638
1.0,1.5423296624
1.0,1.07394972733
2.0,1.2999998065
1.0,1.09450096865
1.0,1.04185028843
1.0,1.19173717013
1.0,1.11468164464
2.0,1.60680563304
1.0,1.00830142853
1.0,1.13666029043
1.0,1.07951050481
1.0,1.00830142853
1.0,1.03341160159
1.0,1.23571206207
1.0,1.19750421255
1.0,1.73044276761
1.0,1.08917602852
1.0,1.03341160159
2.0,1.39020116566
1.0,2.0689060583
1.0,1.0230566796
1.0,1.10248469194
1.0,1.03988377054
2.0,1.62468621862
1.0,1.08686063503
1.0,1.0
1.0,1.26366265478
3.0,1.30388753486
1.0,1.25101714933
1.0,1.06737223638
1.0,1.4795655427
1.0,1.07594818152
2.0,1.04535575747
1.0,1.28745430248
1.0,1.20510075472
1.0,1.03494101615
1.0,1.29158378553
2.0,1.40426300153
1.0,1.0938034248
2.0,1.48044793714
1.0,1.45798174692
1.0,1.15467584361
1.0,1.05032328984
1.0,1.71863867737
1.0,1.18666255411
2.0,1.18845584744
1.0,1.00830142853
1.0,1.24511752518
1.0,1.10450950939
1.0,1.00830142853
1.0,1.38231034706
1.0,1.05219365515
1.0,1.30149904679
1.0,1.09320301551
1.0,1.0
1.0,1.08485206738
1.0,1.67522645118
2.0,1.69618298629
1.0,1.42116140711
1.0,1.04214333765
1.0,1.05883060582
1.0,1.00830142853
1.0,1.04886711396
2.0,1.09320301551
1.0,1.02907177051
